Date,Day of the week,Event title,Venue,Location,start time,end time,startdatetime,description,price_dollar,price range,RSVP,minimum age,URL event,URL venue,URL address,URL image
"June 4, 2026",Thursday,Eve Plumb book signing,First Parish Cambridge Unitarian Universalist,3 Church St./1446 Massachusetts Ave.,19:00,21:00,1780614000,"Actress, singer, painter and entrepreneur Eve Plumb, best known for portraying Jan Brady in the ABC sitcom “The Brady Bunch,” signs her book, “Happiness Included: Jan Brady and Beyond.”",40,,,,https://www.eventbrite.com/e/eve-plumb-book-signing-at-first-parish-church-tickets-1987107851074,,"https://maps.google.com/maps?q=3+church+street+cambridge+ma&client=safari&oe=UTF-8&hnear=3+Church+St,+Cambridge,+Middlesex,+Massachusetts+02138&gl=us&t=m&z=16",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181843403%2F974051967%2F1%2Foriginal.20260410-034128?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=8d7013dd4acd65f7db420ed8c9583a34
"June 4, 2026",Thursday,American Dreams: The Moth Mainstage,Somerville Theatre,55 Davis Square,19:30,,1780615800,"Five seasoned storytellers share extraordinary, true stories that dig deep into the idea of the American Dream. Does that even exist anymore?",,52-96,,,https://www.somervilletheatre.com/production/american-dreams-the-moth-mainstage/,https://www.google.com/search?client=safari&rls=en&q=Somerville+Theatre&ie=UTF-8&oe=UTF-8,"https://maps.google.com/maps?client=safari&oe=UTF-8&q=55+Davis+Square&ie=UTF-8&hq=&hnear=0x89e3771f3459613b:0x6a8ac74975eeeecf,55+Davis+Square,+Somerville,+MA+02144&gl=us&ei=GDAxUbWnCKq00AGEw4CADg&ved=0CDAQ8gEwAA",https://www.somervilletheatre.com/wp-content/uploads/2026/02/Spring-Updated-MS-26_260604-Somerville-Mainstage-1080x1920-1.jpg
"June 5, 2026",Friday,29th Annual Do It Your Damn Self!! Youth Film Festival: Premier Screening,Brattle Theatre,40 Brattle St.,18:00,20:00,1780696800,"This National Youth Film Festival, the longest-running youth film festival in the country, celebrates its 29 th year. A panel discussion with the teen filmmakers follows the screening. After the panel discussion, a reception with passed hors d’oeuvres at The Painted Burro in Harvard Square, 32 Church St. is planned.",0,,yes,,https://www.eventbrite.com/e/29th-annual-do-it-your-damn-self-youth-film-festival-premier-screening-tickets-1986460516880,,"https://maps.google.com/maps?q=40+brattle+street+cambridge+ma&client=safari&oe=UTF-8&hnear=40+Brattle+St,+Cambridge,+Massachusetts+02138&gl=us&t=m&z=16",https://www.eventbrite.com/e/_next/image?url=https%3A%2F%2Fimg.evbuc.com%2Fhttps%253A%252F%252Fcdn.evbuc.com%252Fimages%252F1181231456%252F893586331963%252F1%252Foriginal.20260401-194835%3Fcrop%3Dfocalpoint%26fit%3Dcrop%26w%3D940%26auto%3Dformat%252Ccompress%26q%3D75%26sharp%3D10%26fp-x%3D0.526%26fp-y%3D0.191%26s%3D9c91b172f5e3d9817c58260207050dee&w=1880&q=75
"June 5, 2026",Friday,Annual Pride Event,Club Passim,47 Palmer St.,20:00,,1780704000,"This annual event features Pamela Means, Nora Meier, Phil Berman and Beetsblog performing. Pamela Means, singer-songwriter and jazz musician, is “one of the fiercest guitar players and politically rooted musicians in the industry today” (Curve Magazine). Nora Meier’s debut album, “Outfield,” was released in October 2024. Songwriter Phil Berman’s melodies and lyrics usher the Great American Songbook into the 21st century.",30,,,,https://www.passim.org/live-music/events/annual-pride-event/,https://www.passim.org,"https://maps.google.com/maps?q=47+Palmer+St,+Cambridge,+MA&hl=en&sll=42.373878,-71.119854&sspn=0.051615,0.111494&oq=47+Palmer+St.&gl=us&hnear=47+Palmer+St,+Cambridge,+Middlesex,+Massachusetts+02138&t=m&z=17",
"June 6, 2026",Saturday,Pride Patio Party,Lamplighter CX,110 N. First St.,12:00,23:00,1780761600,"Celebrate Pride with games, drag performances, cold beer, an extended beer garden, a dance party and more.",0,,yes,,https://www.eventbrite.com/e/lamplighters-pride-patio-party-tickets-1987535690754,,"https://www.google.com/maps/place/110+N+First+St,+Cambridge,+MA+02141/@42.3721925,-71.0778388,17z/data=!3m1!4b1!4m5!3m4!1s0x89e370bfb2245667:0x4485ca331eaf45e0!8m2!3d42.3721925!4d-71.0756501",https://www.eventbrite.com/e/_next/image?url=https%3A%2F%2Fimg.evbuc.com%2Fhttps%253A%252F%252Fcdn.evbuc.com%252Fimages%252F1182242660%252F2172273673213%252F1%252Foriginal.20260415-161156%3Fcrop%3Dfocalpoint%26fit%3Dcrop%26w%3D940%26auto%3Dformat%252Ccompress%26q%3D75%26sharp%3D10%26fp-x%3D0.498%26fp-y%3D0.541%26s%3D2e6f99ce528e10a230a7089d70f37278&w=1880&q=75
"June 8, 2026",Monday,Bluegrass with Ruth & Ben String Band,Remnant Satellite,877 Cambridge St.,20:00,22:30,1780963200,"Led by guitarist Ruth Rappaport and her fiddler son, Ben Wetherbee, this intergenerational band’s repertoire includes rousing, powerful old-time fiddle tunes and traditional, modern and original songs that feature tight harmony singing.",0,,,,https://www.remnantsomerville.com/live/bluegrass-every-monday-ybezs,,"https://www.google.com/maps/place/877+Cambridge+St/@42.372758,-71.091455,17z/data=!3m1!4b1!4m2!3m1!1s0x89e370b40295a6f3:0xe4ad4d04107faf2f",http://static1.squarespace.com/static/5f8064635ef8ee4fb4a00e97/66004afeb6537f3f88ac609d/69fd136219ca4f0f71d697a7/1778193276352/Bluegrass_BBQ++2026.pdf.png?format=1500w
"June 9, 2026",Tuesday,Wild Things with Cambridge Society for Early Music,Cambridge Library Valente Branch,826 Cambridge St.,11:00,,1781017200,Join in a game of musical charades featuring quirky 17th century chamber music mimicking members of the animal kingdom and other zaniness.,0,,,,https://www.cambridgema.gov/citycalendar/view.aspx?guid=26c01421306a4d48aa0ac42cfcd9229a,,"https://www.google.com/maps/place/826+Cambridge+St,+Cambridge,+MA+02141/data=!4m2!3m1!1s0x89e370b6b344e6db:0xa0ebfa685d08bac0?sa=X&ved=2ahUKEwj10Y_fnrHnAhVDheAKHTGfBhcQ8gEwAHoECAkQAQ",https://www.cambridgema.gov/-/media/Images/cambridgepubliclibrary/libcaleventimages/16874635.jpg
"June 9, 2026",Tuesday,Berklee Summer in the City: Sahn Cannon,Urban Park Roof Garden at Kendall Center,325 Main St.,17:00,19:00,1781038800,Cannon is a Boston-based jazz pianist and composer whose work bridges the gap between the avant-garde spirit of Andrew Hill and the lush textures of Maurice Ravel.,0,,,,https://www.berklee.edu/events/sahn-cannon-0,,"https://www.google.com/maps/place/3+Cambridge+Center,+325+Main+St,+Cambridge,+MA+02142/data=!4m2!3m1!1s0x89e370af44628cff:0xcfd09c24768fd222?sa=X&ved=1t:242&ictx=111",https://www.berklee.edu/sites/default/files/styles/scale_and_crop_16_9_large/public/2026-04/sahn-cannon_sitc26.jpg
"June 10, 2026",Wednesday,Lunchtime concert: Marquis Lavoie,Urban Park Roof Garden at Kendall Center,325 Main St.,12:00,,1781107200,"Marquis Lavoie is the indie/folk side project of Greg Marquis, frontman for Boston post-hardcore band Actor Observer. Primarily known for his intense and visceral stage presence in AO, Marquis’ solo act reveals a gentler more subdued side of his artistry.",0,,,,https://www.passim.org/live-music/festivals_summer_series/kendall-square-series/,,"https://www.google.com/maps/place/3+Cambridge+Center,+325+Main+St,+Cambridge,+MA+02142/data=!4m2!3m1!1s0x89e370af44628cff:0xcfd09c24768fd222?sa=X&ved=1t:242&ictx=111",https://www.passim.org/wp-content/uploads/2017/09/Harvard-Series-Copy-1.jpg
"June 10, 2026",Wednesday,Midday Music: Jazz World Trio,Kendall/MIT Open Space,292 Main St.,12:15,,1781108100,"Jazz World Trio, featuring Guillermo Nojechowicz and Ron Mahdi, incorporates original works from leader Nojechowicz’s Argentinean tango roots as well as pieces from the deep roots of jazz in Black American culture.",0,,yes,,https://www.eventbrite.com/e/midday-music-jazz-world-trio-tickets-1983814784423#location,,"https://www.google.com/maps/place/Suffolk+Bldg,+292+Main+St,+Cambridge,+MA+02142/data=!4m2!3m1!1s0x89e370af51416ca3:0x4713f373c784e025?sa=X&ved=2ahUKEwjhvr3MtfH3AhUej4kEHdIdA2AQ8gF6BAgMEAE",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179601826%2F2618182420801%2F1%2Foriginal.20260311-162611?w=940&auto=format%2Ccompress&q=75&sharp=10&s=da26dba96307c99285e191d55a826ba9
