Date,Day of the week,Event title,Venue,Location,start time,end time,startdatetime,description,price_dollar,price range,RSVP,minimum age,URL event,URL venue,URL address,URL image
"June 11, 2026",Thursday,Gallery Performance: Celtic Art Across the Ages,Harvard Art Museums,32 Quincy St.,12:00,12:45,1781193600,Harpist and historian Nancy Hurrell will perform Irish music on an 1820s Egan harp and a modern Celtic harp. She will also share the history of the Celtic harp.,0,,,,https://harvardartmuseums.org/calendar/gallery-performance-celtic-art-across-the-ages-12,https://harvardartmuseums.org,"https://www.google.com/maps/place/harvard+art+museums/@42.37421,-71.114404,15z/data=!4m2!3m1!1s0x0:0x3ea24d53829c6322?sa=X&ved=0CIIBEPwSMA5qFQoTCNvGwv2H18cCFcN0PgodRHkMxw",https://harvardartmuseums.org/assets/icons/fb-og-image-400x400.png
"June 11, 2026",Thursday,"Hrishikesh Hirway, moderated by Min Jin Lee",The Sinclair,52 Church St.,20:30,,1781224200,"Hirway is a singer/songwriter, podcast creator and composer. Prior to his work under his own name, he released four albums under the moniker The One AM Radio, as well as an EP with Moors, his project with Oscar-nominated Lakeith Stanfield. Hirway’s new album is “In the Last Hour of Light.”",33,,,,https://www.sinclaircambridge.com/events/detail/1335712,,"https://maps.google.com/maps?q=52+church+st.+cambridge+ma+02138&client=safari&oe=UTF-8&hnear=52+Church+St,+Cambridge,+Massachusetts+02138&gl=us&t=m&z=16",https://www.sinclaircambridge.com/assets/img/default_thumb.jpg
"June 12, 2026",Friday,Sh!t-Faced Shakespeare: Macbeth,The Rockwell,255 Elm St.,19:00,21:00,1781305200,"Shakespeare’s tale of murder, ambition, bloodlust, and the supernatural. Bloody Macbeth and his murderous wife Lady M seize the Scottish throne, with one cast member who happens to be drunk.",,38-43,,18,https://therockwell.org/calendar/sfs-macbeth-special-2-hr-edition/2026-06-12/,https://therockwell.org,"https://maps.google.com/maps?q=255+Elm+St.,+Somerville&client=safari&oe=UTF-8&hnear=255+Elm+St,+Somerville,+Middlesex,+Massachusetts+02144&gl=us&t=m&z=16",https://therockwell.org/wp-content/uploads/2026/04/SFS-Macbeth.png
"June 12, 2026",Friday,David Wax Museum and Lowland Hum present The Golden Hours,Club Passim,47 Palmer St.,20:00,,1781308800,"Catch the unveiling of The Golden Hours, a new band formed by the members of indie-folk acts David Wax Museum and Lowland Hum. These musicians have been touring and recording for over 20 years, featured on “CBS Saturday Morning” and NPR’s “Tiny Desk.” The Golden Hours’ debut record is “Terra Nova.” Also performing on June 13.",40,,,,https://www.passim.org/live-music/events/david-wax-museum-lowland-hum-present-the-golden-hours/,https://www.passim.org,"https://maps.google.com/maps?q=47+Palmer+St,+Cambridge,+MA&hl=en&sll=42.373878,-71.119854&sspn=0.051615,0.111494&oq=47+Palmer+St.&gl=us&hnear=47+Palmer+St,+Cambridge,+Middlesex,+Massachusetts+02138&t=m&z=17",
"June 13, 2026",Saturday,Fresh Pond Day 2026,Water Department facility,250 Fresh Pond Parkway,11:00,15:00,1781362800,"This 16th Annual Festival-style celebration of water, community and sustainability.There will be live music, an open house of the Water Treatment Plant with structured tour at 1 p.m., live animal exhibits, Touch-a-Truck, free popcorn and reusable water bottles and kids’ crafts and games.",0,,,,https://www.cambridgema.gov/citycalendar/view.aspx?guid=215d8d9a436544a8925fd614413e35c1,,"https://www.google.com/maps/place/250+Fresh+Pond+Pkwy,+Cambridge,+MA+02138/data=!4m2!3m1!1s0x89e377759012407b:0x45eab8a6a0d05e76?sa=X&ved=0ahUKEwjco_-xtajOAhVJ04MKHZ1rC4gQ8gEIHTAA",https://www.cambridgema.gov/-/media/Images/sharedphotos/citymanaer2.jpg
"June 13, 2026",Saturday,Science Spotlights: Building a Planet from the Inside Out,"Harvard Museum of Natural History, Classroom B",26 Oxford St.,14:00,14:30,1781373600,Harvard scientist Jack Sheehan explains how researchers recreate the extreme conditions of Earth’s interior in the lab to uncover how our planet formed and continues to evolve.,,,,,https://hmsc.harvard.edu/calendar_event/science-spotlights-building-a-planet-from-the-inside-out/,,"https://maps.google.com/maps?q=harvard+museum+of+natural+history&client=safari&oe=UTF-8&fb=1&gl=us&hq=harvard+museum+of+natural+history&hnear=harvard+museum+of+natural+history&cid=0,0,7006910828754287227&t=m&z=16&iwloc=A",https://hmsc.harvard.edu/wp-content/themes/harvard-flex/img/harvard-logo.svg
"June 14, 2026",Sunday,Fifth Annual Juneteenth Gathering,Longfellow House and the Washington’s Headquarters National Historic Site,105 Brattle St.,16:00,19:00,1781467200,"Denise Washington, a descendant of Darby Vassall, who was enslaved at birth in Longfellow House but lived most of his life in freedom, has curated this day of poetry, music, historical displays, family activities and refreshments.",0,,,,https://www.nps.gov/articles/000/juneteenth-at-longfellow-house-washington-s-headquarters.htm,,"https://www.google.com/maps/place/105+Brattle+St,+Cambridge,+MA+02138/@42.376989,-71.12637,17z/data=!3m1!4b1!4m2!3m1!1s0x89e3776937e0c93f:0xbd999954ee519031?hl=en",https://www.nps.gov/articles/000/images/Juneteenth-Gathering-106.jpg
"June 14, 2026",Sunday,No Recombination Without Representation,Cambridge City Hall,795 Massachusetts Ave.,19:00,,1781478000,Central Square Theater and the MIT Museum present a reenactment of a crowded city hall meeting in 1976 that considered the prospect of a new biohazard lab designed for groundbreaking recombinant DNA research.,0,,yes,,https://www.centralsquaretheater.org/free/no-recombination-without-representation-rdna-project/,,"https://maps.google.com/maps?q=795+massachusetts+avenue+cambridge+ma&client=safari&oe=UTF-8&hnear=795+Massachusetts+Ave,+Cambridge,+Massachusetts+02139&gl=us&t=m&z=16",https://www.centralsquaretheater.org/wp-content/uploads/2026/04/MIT-Museum-logo.png
"June 15, 2026",Monday,Rye Barcott reads from “Courage Can Save Us: Ten Extraordinary Americans and the Fight for Our Future”,Brattle Theatre,40 Brattle St.,18:00,,1781560800,"Marine Corps veteran and co-founder and CEO of With Honor, a group that works alongside the House’s bipartisan For Country Caucus and a bipartisan group of senators to pass critical legislation in national security, national service and veterans’ affairs, tells the story of veterans serving in Congress who have crossed party lines for the good of the nation. Marine Corps veteran and the U.S. representative for Massachusetts’s 6th congressional district Congressman Seth Moulton joins.",,12-40,,,https://www.eventbrite.com/e/rye-barcott-at-the-brattle-theatre-tickets-1988337323459,,"https://maps.google.com/maps?q=40+brattle+street+cambridge+ma&client=safari&oe=UTF-8&hnear=40+Brattle+St,+Cambridge,+Massachusetts+02138&gl=us&t=m&z=16",https://www.eventbrite.com/e/_next/image?url=https%3A%2F%2Fimg.evbuc.com%2Fhttps%253A%252F%252Fcdn.evbuc.com%252Fimages%252F1183142074%252F974051967%252F1%252Foriginal.20260427-165132%3Fw%3D940%26auto%3Dformat%252Ccompress%26q%3D75%26sharp%3D10%26s%3D81da6dbf92de6788b92238775fc25fca&w=1880&q=75
"June 15, 2026",Monday,Navigating the Crossroads: When Art and Technology Intersects and Diverges,Cambridge Main Library,449 Broadway,18:30,20:00,1781562600,Join the MIT Open Documentary Lab and Cambridge Public Library for a conversation with Emmy Award–winning artist and director Michaela Holland on immersive storytelling in virtual reality.,0,,yes,,https://www.cambridgema.gov/citycalendar/view.aspx?guid=35487734995943fbbaf34f98bb678b50,,"https://www.google.com/maps/place/449+Broadway,+Cambridge,+MA+02138/@42.3741465,-71.1132964,17z/data=!4m6!3m5!1s0x89e37745be2584c3:0x527bf355e32f9d3d!8m2!3d42.3741465!4d-71.1107215!16s/g/11c4gnm2t4?entry=ttu",https://www.cambridgema.gov/-/media/Images/cambridgepubliclibrary/libcaleventimages/16752105.jpg
